D (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),N Test (kN)
168.8,2.64,305,302.4,,,18.2,,1326
168.8,2.64,305,302.4,,,34.7,,1219
169.3,2.62,305,338.1,,,37.1,,1308
169.3,2.62,305,338.1,,,34.1,,1330
168.3,3.6,305,288.4,,,27,,1557
168.3,3.6,305,288.4,,,33.3,,1432
168.3,3.6,305,288.4,,,33.3,,1463
168.8,5,305,200.2,,,33.4,,1966
168.8,5,305,200.2,,,33.4,,1970
168.8,5,305,200.2,,,27.9,,1984
168.8,5,305,200.2,,,27.9,,1984
168.8,2.64,1830,200.2,,208,18.2,,823
168.8,2.64,1830,200.2,,208,34.7,,916
169.3,2.62,1830,338.1,,199,37.1,,756
169.3,2.62,1830,338.1,,199,34.1,,689
168.3,3.6,2135,288.4,,168,27,,947
168.3,3.6,2135,288.4,,168,33.3,,1050
168.8,5,2135,302.4,,208,33.4,,1130
168.8,5,2135,302.4,,208,27.8,,1165
114.3,3.5,229,350,,,33.4,,969
114.3,4.5,229,339,,,33.4,,1069
178,9,360,283.31,,,22.16,,2922.38
178,9,360,283.31,,,22.16,,2853.74
178,9,360,283.31,,,45.4,,3216.58
178,9,360,283.31,,,45.4,,3177.35
179,5.5,360,248.5,,,22.16,,1814.23
179,5.5,360,248.5,,,23.93,,1814.23
179,5.5,360,248.5,,,43.64,,2039.78
179,5.5,360,248.5,,,43.64,,2029.98
174,3,360,265.96,,,23.93,,1314.09
174,3,360,265.96,,,23.93,,1304.28
174,3,360,265.96,,,45.7,,1608.29
174,3,360,265.96,,,45.7,,1676.94
159,5.07,477,381.5,,,41.5,,2230
630,7,1890,291.4,,,36,,16650
630,7.61,1890,349.5,,,35,,18000
630,8.44,1890,350,,,34.5,,18600
630,10.21,1890,323.3,,,38.4,,20500
630,11.6,1890,347.2,,,46,,24400
720,8.3,2160,312,,,15,,15000
820,8.93,2460,331,,,45,,33600
1020,9.64,3060,336,,,16.9,,30000
1020,13.25,3060,368.7,,,28.9,,46000
165,4.5,660,254.4,,,33.2,,1647
114,4.5,456,271,,,33.2,,1033
88.5,4,354,232,,,33.2,,602
60,3.5,240,223,,,33.2,,334
48,3.5,192,304,,,33.2,,273
131.76,2.38,264,235,,,17.4,,535
134.3,3.12,264,235,,,26.6,,681
130.6,4.3,264,235,,,26.6,,725
132.45,5.25,264,235,,,26.6,,872
134.1,6.2,264,235,,,26.6,,1006
101.8,2.94,200,320,,,18,,628
101.8,2.94,200,320,,,37.4,,660
101.8,5.7,200,305,,,18,,954
101.8,5.7,200,305,,,37.4,,971
100,0.52,200,244,,,18,,239
100,0.52,200,244,,,37.4,,396
86.49,2.74,270,226.7,,,30.2,,412
89.27,4,270,226.7,,,30.2,,491
86.54,2.8,270,226.7,,,48,,489
89.19,4.05,270,226.7,,,48,,605
165.2,4.17,660.8,358.7,,,40.9,,1594
76,2.2,266,390,,,57,,470
76,2.2,266,390,,,57,,480
76,2.2,266,390,,,57,,420
76,2.2,266,390,,,57,,465
101.7,2.4,356,380,,,57,,770
101.7,2.4,356,380,,,57,,775
101.7,2.4,356,380,,,57,,740
101.7,2.4,356,380,,,57,,690
101.7,2.4,356,380,,,57,,775
165,2.82,580.5,363.3,,,48.3,,1661.6
190,1.94,663.5,256.4,,,41,,1678.2
190,1.52,664.5,306.1,,,48.3,,1694.8
190,1.13,664.5,185.7,,,41,,1376.6
190,0.86,659,210.7,,,41,,1349.9
165,2.82,580.5,363.3,,,80.2,,2295
190,1.94,663.5,256.4,,,74.7,,2592
190,1.52,663.5,306.1,,,80.2,,2602
190,1.13,662.5,185.7,,,80.2,,2295
190,0.86,663.5,210.7,,,74.7,,2451
165,2.82,577.5,363.3,,,108,,2673
190,1.94,660,256.4,,,108,,3360
190,1.52,661.5,306.1,,,108,,3260
190,1.13,660,185.7,,,108,,3058
190,0.86,662,210.7,,,108,,3070
111.3,2,339,354.6,,,60.75,,855
113.6,3.2,338,354.6,,,60.75,,1145
114.8,3.9,338,357.7,,,60.75,,1116
115.9,4.9,356,309.5,,,60.75,,1174
130.6,2.3,396,324.3,,,60.75,,1250
133.1,4.5,397,324.3,,,60.75,,1535
141.8,4.3,419,433,,,60.75,,1618
159.8,6.3,476,482.5,,,60.75,,3123
165.7,5.1,497,373.3,,,60.75,,2309
101.3,1.5,310,264.9,,,21.9,,370
102.3,1.52,310,264.9,,,21.9,,485
104.2,2.44,310,264.9,,,21.9,,450
105,2.06,310,264.9,,,18.4,,539
105.1,2.85,310,264.9,,,18.4,,550
107.9,4.32,310,264.9,,,18.4,,686
107.9,4.32,424,264.9,,,18.4,,727
107.9,4.32,424,264.9,,,18.4,,734
107.9,4.32,424,264.9,,,18.4,,803
153.9,1.8,470,356.1,,,18.4,,981
154.2,2.65,470,356.1,,,18.4,,1294
155.6,2.63,470,356.1,,,23,,1300
159.3,5.25,470,356.1,,,21.9,,1577
160.2,5.4,470,356.1,,,21.9,,1775
159.8,5.08,470,356.1,,,21.9,,1746
264.6,4.55,812,323.4,,,21.9,,3579
265,4.75,812,323.4,,,21.9,,3789
264.4,4.5,812,323.4,,,21.9,,3357
111.3,2,399,354.6,,,42.7,,840
113.6,3.2,337,354.6,,,42.7,,1141
113.6,3.2,338,354.6,,,42.7,,1091
113.6,3.2,336,354.6,,,42.7,,1139
114.8,3.9,335,357.7,,,42.7,,1041
114.8,3.9,338,357.7,,,42.7,,1110
114.8,3.9,343,357.7,,,42.7,,1030
115.9,4.9,356,309.5,,,42.7,,1122
115.9,4.9,344,309.5,,,42.7,,1234
115.9,4.9,340,309.5,,,42.7,,1102
115.9,4.9,357,309.5,,,42.7,,1140
130.1,2.3,396,324.3,,,42.7,,1240
133.1,4.5,397,324.3,,,42.7,,1440
158.7,0.9,450,221,,,18.7,,699.7
157.5,1.5,450,308,,,18.7,,815.4
157.7,2.14,450,286,,,18.7,,907.5
273,8,1100,306.7,,,29.62,,5576
273,8,1100,306.7,,,40.28,,5194
273,8,1100,306.7,,,40.28,,5292
204,2,840,235.2,,,28.45,,1294
204,2,840,235.2,,,39.53,,1637
204,2,840,235.2,,,40.28,,1691
96,5,450,410.6,,,28.45,,1044
96,5,450,410.6,,,28.45,,1166
96,5,400,410.6,,,39.53,,1176
96,5,400,410.6,,,39.53,,1171
96,5,400,410.6,,,39.53,,1073
96,5,405,410.6,,,39.53,,1122
166,5,660,274.4,,,26.56,,1744
166,5,660,274.4,,,26.56,,1695
166,5,660,274.4,,,29.62,,1862
166,5,660,274.4,,,29.62,,1872
166,5,660,274.4,,,29.62,,1695
166,5,660,274.4,,,29.62,,1735
166,5,660,274.4,,,29.62,,2029
166,5,660,274.4,,,29.62,,2107
121,12,500,294,,,28.45,,2421
121,12,500,294,,,40.28,,2587
166,5,350,274.4,,,29.62,,1784
166,5,350,274.4,,,29.62,,2038
166,5,500,274.4,,,29.62,,1999
166,5,500,274.4,,,29.62,,2043
166,5,660,274.4,,,29.62,,1975
320,7,260,249.9,,,46.57,,7909
320,7,440,249.9,,,46.57,,5900
320,7,520,249.9,,,46.57,,5890
320,7,520,249.9,,,46.57,,6380
108,4,338.88,324,,,28.99,,1117.2
108,4,338.88,324,,,28.99,,1058.4
108,4,338.88,324,,,28.99,,1073.1
125,1,438,232,,,106.02,,1275
125,1,438,232,,,106.02,,1239
127,2,445,258,,,106.02,,1491
127,2,445,258,,,106.02,,1339
133,3.5,465,352,,,106.02,,1995
133,3.5,465,352,,,106.02,,1991
133,3.5,465,352,,,106.02,,1962
133,4.7,465,352,,,106.02,,2273
133,4.7,465,352,,,106.02,,2158
133,4.7,465,352,,,106.02,,2253
127,7,445,429,,,106.02,,3404
127,7,445,429,,,106.02,,3370
127,7,445,429,,,106.02,,3364
108,4.5,378,358,,,77.4,,1535
108,4.5,378,358,,,77.4,,1578
108,4.5,378,358,,,77.4,,1518
100,2.5,300,433.2,,,45.77,,828
100,3,300,426.3,,,35.17,,777
210,2.5,630,237.2,,,26.56,,1637
100,2.5,300,244,,,34.85,,670
100,2,300,236.2,,,34.85,,537
100,1.5,300,232.3,,,34.85,,505
92,3,276,260.7,,,23.37,,538
108,4,324,332,,,41.17,,970
100,2.5,300,433.2,,,48.35,,828
210,2.5,630,237.2,,,27.82,,1637
100,2.5,300,244,,,36.19,,670
100,1.5,300,232.3,,,36.19,,505
100,2,300,236.2,,,36.19,,537
106,3,278,298.9,,,43.21,,848
101.5,3.4,203,602.7,,,32.68,,1080
153,3.2,322,413.6,,,21.54,,1191
76.5,1.7,153,361.6,,,24.37,,344
300,3,1000,274.4,,,9.9,,2636
300,3,1000,274.4,,,28.72,,3420
300,3,1000,266.9,,,24.12,,3038
92,3,276,260.7,,,20.71,,538
108,4.5,324,259.7,,,20.22,,931
108,4,324,332,,,39.23,,970
108,4.2,324,259.7,,,20.54,,916
210,2.5,630,237.2,,,26.56,,1637
106,3,418,298.9,,,36.14,,736
101.6,3.03,305,371,,,23.2,,635
101.8,3.03,305,371,,,23.2,,679
101.8,3.03,305,371,,,23.2,,632
216.5,6.61,650,452,,,24.3,,3568
318.5,10.37,955,335,,,24.2,,6901
101.6,3.03,305,371,,,40.2,,864
101.7,3.03,305,371,,,40.2,,803
216.5,6.61,650,452,,,38.2,,4200
318.4,10.37,955,335,,,39.2,,7742
101.5,3.03,305,371,,,51.3,,859
101.9,3.03,305,371,,,51.3,,926
216.4,6.61,650,452,,,46.7,,4283
318.3,10.37,955,335,,,52.2,,9297
101.4,3.03,305,371,,,23.2,,660
101.9,3.03,305,371,,,23.2,,649
101.8,3.03,305,371,,,23.2,,682
216.4,6.61,649,452,,,24.3,,3568
318.3,10.37,955,335,,,24.2,,6565
101.7,3.03,305,371,,,40.2,,800
101.3,3.03,305,371,,,40.2,,742
216.4,6.61,649,452,,,38.2,,4023
318.3,10.37,955,335,,,39.2,,7933
101.9,3.03,305,371,,,51.3,,877
101.5,3.03,305,371,,,51.3,,862
216.4,6.61,649,452,,,46.8,,4214
318.5,10.37,955,335,,,52.2,,8289
100,3,300,303.5,,,46.8,,708
100,3,300,303.5,,,46.8,,820
100,3,300,303.5,,,46.8,,766
100,3,300,303.5,,,46.8,,820
100,3,300,303.5,,,46.8,,780
100,3,300,303.5,,,46.8,,814
200,3,600,303.5,,,46.8,,2320
200,3,600,303.5,,,46.8,,2330
200,3,600,303.5,,,46.8,,2160
200,3,600,303.5,,,46.8,,2160
200,3,600,303.5,,,46.8,,2383
200,3,600,303.5,,,46.8,,2256
200,3,2000,303.5,,206.5,46.8,,1830
200,3,2001,303.5,,206.5,46.8,,1806
200,3,2002,303.5,,206.5,46.8,,1882
200,3,2003,303.5,,206.5,46.8,,2060
200,3,2004,303.5,,206.5,46.8,,2115
108,4.5,240,409.64,,,28.6,,1244.6
108,4.5,240,409.64,,,28.6,,1234.8
108,4.5,285,409.64,,,28.6,,1254.4
108,4.5,290,409.64,,,28.6,,1225
108,4.5,340,409.64,,,28.6,,1161.3
108,4.5,380,409.64,,,28.6,,1166.2
108,4.5,380,409.64,,,28.6,,1210.3
108,4.5,400,409.64,,,28.6,,1871.8
108.6,4.6,326,271.9,,,30.7,,757
114.3,3.35,343,287.33,,,32.68,,737
114.3,3.35,343,287.33,,,58.68,,952
114.3,3.35,343,287.33,,,88.78,,1136.2
114.3,3.35,343,287.33,,,105.45,,1453.1
114.3,6,343,342.95,,,32.68,,1075.4
114.3,6,343,342.95,,,58.68,,1329.1
114.3,6,343,342.95,,,88.78,,1496
