b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),fgs
199,199,1.8,796,192.4,27.7,1403,15
197,197,1.55,797,192.4,27.7,1413,dd
199,199,1.5,798,192.4,27.7,1362,adf
199,199,1.63,798,192.4,25.4,1163,adf
198,198,1.66,794,192.4,25.6,1310,adf
199,199,1.68,796,192.4,25.6,1110,aer3
199,199,1.91,792,246.7,27.6,1360,6uujr
199,199,1.86,797,246.7,27.6,1417,afe
199,199,1.62,798,246.7,27.6,1360,tuy
198,198,1.72,797,246.7,25.7,1210,
199,199,1.69,797,246.7,25.7,1160,
199,199,1.66,796,246.7,25.8,1065,
150,150,1.52,595,246.7,37.1,905,
149,149,1.47,596,246.7,37.4,1000,
150,150,1.6,598,246.7,37.4,950,
148,148,1.57,598,246.7,25.8,660,
149,149,1.64,595,246.7,25.9,710,
200,200,2.93,793,256.4,27.6,1764,
201,201,2.92,796,256.4,27.6,1760,
198,198,2.92,797,256.4,27.6,1760,
199,199,2.91,793,256.4,25.8,1546,
200,200,2.93,792,256.4,25.9,1560,
200,200,3.93,794,256.4,25.9,1509,
199,199,3.99,796,279,36.2,2100,
200,200,3.96,796,279,36.4,2100,
200,200,4.93,796,294,36,2439,
200,200,4.92,796,294,36,2465,
149,149,3.91,598,279,37,1300,
149,149,3.96,598,279,37,1340,
149,149,3.94,597,279,37,1350,
198,198,5.66,796,234.7,35.9,2330,
198,198,5.96,797,234.7,36,2800,
198,198,5.69,796,234.7,36.5,2190,
150,150,4.93,595,294.9,36.9,1645,
150,150,4.95,594,294.9,36.9,1630,
150,150,4.96,595,294.9,36.9,1650,
199,199,7.83,797,238.3,35.7,2700,
200,200,7.8,796,238.3,35.7,2590,
99,99,4.9,398,294.9,37.1,960,
99,99,4.92,397,294.9,37.4,980,
99,99,4.86,399,294.9,37.9,900,
149,149,7.67,596,238.3,36.6,1845,
149,149,7.67,596,238.3,36.6,1850,
149,149,7.58,598,238.3,36.6,1750,
98,98,5.74,399,234.7,37.9,950,
99,99,5.84,398,234.7,37.9,950,
99,99,5.85,395,234.7,38,850,
99,99,7.72,396,238.3,38,1100,
100,100,7.78,398,238.3,38,1050,
99,99,7.82,397,238.3,38,1000,
200,200,5,600,227,24,2061,
200,200,5,600,227,28.8,2530,
200,200,5,600,227,36.8,2468,
300,300,5,900,227,24,3621,
300,300,5,900,227,28.8,4603,
300,300,5,900,227,36.8,4872,
80.2,80.2,1.59,240,279.9,32.9,353,
80.9,80.9,1.6,240,279.9,32.9,347,
110,110,1.54,330,279.9,32.9,510,
109.8,109.8,1.53,330,279.9,32.9,522,
149.3,149.3,3.63,450,279.9,41.8,1771,
149.3,149.3,3.63,450,279.9,41.8,1785,
120,120,5.8,360,300,74.7,1697,
120,120,5.8,360,300,92,1919,
200,200,5.8,600,300,74.7,3996,
200,200,5.8,600,300,74.7,3862,
100,130,5.8,390,300,74.7,1601,
100,130,5.8,390,300,74.7,1566,
100,130,5.8,390,300,92,1854,
100,130,5.8,390,300,92,1779,
170,220,5.8,660,300,74.7,3684,
170,220,5.8,660,300,74.7,3717,
120,120,4,360,495,56,1739,
120,120,4,360,495,56,1718,
130,130,4,390,495,56,1963,
130,130,4,390,495,56,1988,
98.2,100.3,4.18,300,550,56.6,1490,
100.6,101.5,4.18,300,550,56.6,1535,
101.1,101.2,4.18,300,550,65.7,1740,
100.4,100.7,4.18,300,550,65.7,1775,
181.2,182.8,4.18,540,550,56.6,3590,
180.4,181.8,4.18,540,550,65.7,4210,
120,120,4,360,495,58.4,1701,
120,120,4,360,495,58.4,1657,
130,130,4,390,495,58.4,2020,
130,130,4,390,495,58.4,2018,
108,108,4,320,495,77.6,1749,
108,108,4,320,495,77.6,1824,
140,140,4,420,495,77.6,2752,
140,140,4,420,495,77.6,2828,
125,160,4,480,495,77.6,2580,
125,160,4,480,495,77.6,2674,
101.3,101.3,4.97,300,347.3,49.4,1310,
103.6,103.6,4.9,300,347.3,49.4,1340,
102,102,4.97,300,347.3,49.4,1370,
142,142,5.11,420,347.3,49.4,2160,
142,142,5.08,420,347.3,49.4,2250,
141.4,141.4,5.07,420,347.3,49.4,2280,
142.1,142.1,3.02,420,255.1,44.9,1360,
142.1,142.1,3.02,420,255.1,44.9,1400,
142.1,142.1,2.01,420,305.1,44.9,1328,
142.1,142.1,2.01,420,305.1,44.9,1364,
140.9,140.9,2.02,420,305.1,44.9,1280,
103.5,103.5,5.01,300,347.3,58.6,1500,
102.1,102.1,4.97,300,347.3,58.6,1330,
101.9,101.9,5.03,300,347.3,58.6,1440,
142.3,142.3,5.09,420,347.3,58.6,2520,
142.4,142.4,5.1,420,347.3,58.6,2610,
143.2,143.2,2.03,420,305.1,58.6,1990,
142.3,142.3,2.01,420,305.1,58.6,1855,
140.5,140.5,2,420,305.1,58.6,1780,
141.5,141.5,3.08,420,255.1,58.6,1920,
142.4,142.4,3.05,420,255.1,58.6,2060,
141.6,141.6,3.04,420,255.1,58.6,1960,
149.1,149.1,5.06,420,347.3,58.6,1700,
143.1,143.1,3.02,420,255.1,44.9,1150,
101.6,130.3,5.03,390,347.3,49.4,1580,
102.3,130.3,5.14,390,347.3,49.4,1600,
102.3,130.3,5.14,390,347.3,49.4,1640,
120.2,166.3,2.94,480,255.1,49.4,1580,
126.2,161,2.98,480,255.1,49.4,1580,
126,160.3,2.92,480,255.1,49.4,1560,
136.1,167.4,5.13,480,347.3,49.4,2510,
135.3,170.8,5.07,510,347.3,49.4,2470,
102.7,125.7,5.15,390,347.3,58.6,1840,
120.4,130,5.03,390,347.3,58.6,1820,
102.7,132.3,4.98,390,347.3,58.6,1725,
122.5,157.1,2.01,480,305.1,58.6,1800,
119,161.9,2,480,305.1,58.6,1740,
125.1,160.4,2.85,480,255.1,58.6,1855,
125.6,160,2.88,480,255.1,58.6,2030,
125,161.1,2.81,480,255.1,58.6,2040,
137.1,167.9,5.1,480,347.3,58.6,2600,
133.2,172.7,5.08,480,347.3,58.6,2700,
122.7,160.2,2.03,480,305.1,49.4,1400,
119.4,160.1,2.01,480,305.1,49.4,1420,
124.3,161.5,2,480,305.1,49.4,1320,
149.3,149.3,3.63,448,283.6,31.7,1771,
149.3,149.3,3.63,448,283.6,31.7,1785,
149.1,149.1,3.69,448,283.6,31.7,1409,
149,149,3.59,448,283.6,31.7,1370,
148.6,148.6,3.67,448,283.6,31.7,1433,
149.4,149.4,3.64,448,283.6,31.7,1399,
120,120,2.65,360,340,12.2,635,
120,120,2.65,360,340,21.9,778,
76,76,3.09,228,199,36.1,275,
75.9,75.9,3.09,228,199,74.4,382,
75.8,75.8,3.09,227,199,74.4,374,
76,76,3.09,228,199,108.6,514,
88.1,88.1,1.76,269,115,36.1,299,
88,88,1.76,264,115,74.4,467,
88,88,1.76,264,115,108.6,722,
101.7,101.7,2.32,300,145,36.1,415,
101.6,101.6,2.32,300,145,74.4,651,
101.5,101.5,2.32,300,145,108.6,1009,
153,153,3.31,456,148,36.1,915,
152.3,152.3,3.31,456,148,74.4,1566,
152.5,152.5,3.31,455,148,108.6,2124,
100,44.1,1.57,300,145,36.1,182,
100,44.1,1.57,300,145,74.4,296,
99.9,44,1.57,300,145,108.6,342,
99.6,44.7,2.9,300,228,36.1,237,
99.7,44.1,2.9,300,228,74.4,271,
99.8,44.2,2.9,300,228,108.6,344,
114.3,114.3,9.63,406,258,32.6,2442,
114.9,114.9,4.39,406,258,32.6,897,
120,120,3.84,360,330.1,14.6,882,
120,120,3.84,360,330.1,16.7,882,
120,120,3.84,360,330.1,16.7,921.2,
120,120,3.84,360,330.1,26.4,1080,
120,120,3.84,360,330.1,28.2,1078,
