b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN)
199.00,199.00,1.80,796.00,192.40,27.70,1403.00
197.00,197.00,1.55,797.00,192.40,27.70,1413.00
199.00,199.00,1.50,798.00,192.40,27.70,1362.00
199.00,199.00,1.63,798.00,192.40,25.40,1163.00
198.00,198.00,1.66,794.00,192.40,25.60,1310.00
199.00,199.00,1.68,796.00,192.40,25.60,1110.00
199.00,199.00,1.91,792.00,246.70,27.60,1360.00
199.00,199.00,1.86,797.00,246.70,27.60,1417.00
199.00,199.00,1.62,798.00,246.70,27.60,1360.00
198.00,198.00,1.72,797.00,246.70,25.70,1210.00
199.00,199.00,1.69,797.00,246.70,25.70,1160.00
199.00,199.00,1.66,796.00,246.70,25.80,1065.00
150.00,150.00,1.52,595.00,246.70,37.10,905.00
149.00,149.00,1.47,596.00,246.70,37.40,1000.00
150.00,150.00,1.60,598.00,246.70,37.40,950.00
148.00,148.00,1.57,598.00,246.70,25.80,660.00
149.00,149.00,1.64,595.00,246.70,25.90,710.00
200.00,200.00,2.93,793.00,256.40,27.60,1764.00
201.00,201.00,2.92,796.00,256.40,27.60,1760.00
198.00,198.00,2.92,797.00,256.40,27.60,1760.00
199.00,199.00,2.91,793.00,256.40,25.80,1546.00
200.00,200.00,2.93,792.00,256.40,25.90,1560.00
200.00,200.00,3.93,794.00,256.40,25.90,1509.00
199.00,199.00,3.99,796.00,279.00,36.20,2100.00
200.00,200.00,3.96,796.00,279.00,36.40,2100.00
200.00,200.00,4.93,796.00,294.00,36.00,2439.00
200.00,200.00,4.92,796.00,294.00,36.00,2465.00
149.00,149.00,3.91,598.00,279.00,37.00,1300.00
149.00,149.00,3.96,598.00,279.00,37.00,1340.00
149.00,149.00,3.94,597.00,279.00,37.00,1350.00
198.00,198.00,5.66,796.00,234.70,35.90,2330.00
198.00,198.00,5.96,797.00,234.70,36.00,2800.00
198.00,198.00,5.69,796.00,234.70,36.50,2190.00
150.00,150.00,4.93,595.00,294.90,36.90,1645.00
150.00,150.00,4.95,594.00,294.90,36.90,1630.00
150.00,150.00,4.96,595.00,294.90,36.90,1650.00
199.00,199.00,7.83,797.00,238.30,35.70,2700.00
200.00,200.00,7.80,796.00,238.30,35.70,2590.00
99.00,99.00,4.90,398.00,294.90,37.10,960.00
99.00,99.00,4.92,397.00,294.90,37.40,980.00
99.00,99.00,4.86,399.00,294.90,37.90,900.00
149.00,149.00,7.67,596.00,238.30,36.60,1845.00
149.00,149.00,7.67,596.00,238.30,36.60,1850.00
149.00,149.00,7.58,598.00,238.30,36.60,1750.00
98.00,98.00,5.74,399.00,234.70,37.90,950.00
99.00,99.00,5.84,398.00,234.70,37.90,950.00
99.00,99.00,5.85,395.00,234.70,38.00,850.00
99.00,99.00,7.72,396.00,238.30,38.00,1100.00
100.00,100.00,7.78,398.00,238.30,38.00,1050.00
99.00,99.00,7.82,397.00,238.30,38.00,1000.00
200.00,200.00,5.00,600.00,227.00,24.00,2061.00
200.00,200.00,5.00,600.00,227.00,28.80,2530.00
200.00,200.00,5.00,600.00,227.00,36.80,2468.00
300.00,300.00,5.00,900.00,227.00,24.00,3621.00
300.00,300.00,5.00,900.00,227.00,28.80,4603.00
300.00,300.00,5.00,900.00,227.00,36.80,4872.00
80.20,80.20,1.59,240.00,279.90,32.90,353.00
