f,c,t,b,n,theta,mode_1_number,freq_Hz
6.0,113.0,1.3,3397.0,2.0,57.0,1,15.94
20.0,128.0,1.74,2884.0,9.0,37.0,1,16.405
11.0,123.0,1.87,2333.0,3.0,23.0,1,18.039
49.0,140.0,2.34,3093.0,4.0,43.0,1,30.644
50.0,103.0,3.37,2157.0,4.0,58.0,1,66.944
34.0,129.0,2.41,1288.0,4.0,47.0,1,137.05
31.0,98.0,3.15,3123.0,5.0,41.0,1,20.094
45.0,150.0,3.17,864.0,7.0,38.0,0,nan
12.0,113.0,3.45,849.0,9.0,53.0,1,122.87
43.0,88.0,2.8,2030.0,3.0,45.0,1,58.86
23.0,129.0,0.87,3047.0,10.0,24.0,1,13.71
7.0,120.0,4.81,1999.0,9.0,54.0,1,14.62
10.0,125.0,0.7,784.0,6.0,56.0,1,112.84
31.0,62.0,0.82,1949.0,4.0,50.0,1,45.435
35.0,130.0,4.29,2519.0,7.0,48.0,1,35.931
36.0,131.0,3.52,3600.0,7.0,30.0,1,14.146
6.0,137.0,0.94,1196.0,5.0,37.0,1,33.168
38.0,123.0,4.65,3658.0,10.0,52.0,1,18.154
36.0,137.0,3.73,1280.0,5.0,48.0,1,144.12
46.0,136.0,4.37,2087.0,5.0,49.0,1,66.085
7.0,61.0,0.77,1176.0,8.0,27.0,1,34.2
12.0,108.0,2.85,1959.0,3.0,44.0,1,30.88
17.0,129.0,4.91,1830.0,2.0,35.0,1,64.519
22.0,90.0,1.29,822.0,3.0,49.0,1,233.15
13.0,116.0,1.46,3850.0,6.0,44.0,1,6.8517
31.0,143.0,2.22,1170.0,6.0,31.0,0,nan
37.0,61.0,2.52,3500.0,9.0,51.0,1,14.942
47.0,144.0,4.28,2497.0,2.0,49.0,1,65.291
41.0,103.0,2.18,1301.0,5.0,43.0,1,128.93
30.0,133.0,3.2,1805.0,2.0,38.0,1,79.13
12.0,125.0,1.58,3642.0,3.0,35.0,1,10.051
27.0,144.0,3.61,1778.0,6.0,46.0,1,59.607
27.0,106.0,2.09,2484.0,6.0,36.0,1,26.22
35.0,75.0,4.6,2831.0,8.0,52.0,1,25.297
18.0,119.0,2.39,3958.0,6.0,30.0,1,8.2066
41.0,99.0,3.76,1036.0,3.0,56.0,1,252.41
8.0,110.0,3.11,1511.0,8.0,24.0,1,25.813
12.0,117.0,3.7,1354.0,8.0,47.0,1,49.107
33.0,144.0,2.5,972.0,10.0,54.0,5,227.43
15.0,102.0,4.05,3975.0,9.0,27.0,1,6.9155
42.0,111.0,2.18,1915.0,5.0,40.0,1,60.012
6.0,109.0,2.91,1742.0,5.0,21.0,1,17.028
23.0,135.0,3.21,665.0,10.0,25.0,0,nan
8.0,55.0,4.79,1205.0,8.0,45.0,1,44.37
27.0,128.0,0.97,1628.0,4.0,30.0,1,61.671
8.0,117.0,4.17,595.0,10.0,44.0,1,167.65
34.0,91.0,0.69,2553.0,8.0,57.0,1,32.661
20.0,71.0,4.67,3105.0,4.0,30.0,1,33.806
13.0,66.0,1.69,1571.0,3.0,59.0,1,48.03
26.0,134.0,3.9,691.0,5.0,54.0,1,365.95
9.0,60.0,2.65,3405.0,7.0,49.0,1,10.329
34.0,83.0,3.58,1895.0,6.0,52.0,1,56.831
15.0,131.0,4.07,3238.0,7.0,33.0,1,10.855
14.0,67.0,2.94,3589.0,7.0,38.0,1,10.45
25.0,125.0,4.79,2650.0,4.0,47.0,1,28.342
43.0,127.0,2.74,1994.0,2.0,50.0,1,87.976
47.0,118.0,3.35,1111.0,8.0,39.0,1,177.97
42.0,107.0,1.83,1216.0,4.0,41.0,1,148.56
37.0,92.0,2.31,2288.0,9.0,45.0,1,38.094
29.0,132.0,0.74,555.0,10.0,45.0,0,nan
23.0,92.0,1.56,3277.0,2.0,45.0,1,29.663
11.0,103.0,4.09,2502.0,7.0,57.0,1,14.639
40.0,145.0,1.16,1189.0,8.0,36.0,0,nan
20.0,138.0,0.58,2744.0,3.0,58.0,1,21.802
11.0,119.0,1.25,1426.0,9.0,30.0,1,38.567
32.0,106.0,1.68,3260.0,2.0,31.0,1,27.12
7.0,97.0,3.18,1751.0,2.0,58.0,1,55.498
13.0,141.0,2.87,3867.0,5.0,23.0,1,7.2947
